path,set,subject,modality,matfile,data_offset,size
TrainingSet/P001/cine_lax_calib.mat,TrainingSet,P001,Cine LAX,cine_lax_calib.mat,1024,97182729
TrainingSet/P001/cine_lax_ks.mat,TrainingSet,P001,Cine LAX,cine_lax_ks.mat,97185792,317685203
TrainingSet/P001/cine_sax_calib.mat,TrainingSet,P001,Cine SAX,cine_sax_calib.mat,414871552,341670060
TrainingSet/P001/cine_sax_ks.mat,TrainingSet,P001,Cine SAX,cine_sax_ks.mat,756543488,979973450
TrainingSet/P001/t1map_calib.mat,TrainingSet,P001,T1map,t1map_calib.mat,1736517632,8644681
TrainingSet/P001/t1map_ks.mat,TrainingSet,P001,T1map,t1map_ks.mat,1745164288,267836057
TrainingSet/P001/t2map_calib.mat,TrainingSet,P001,T2map,t2map_calib.mat,2013001216,5687192
TrainingSet/P001/t2map_ks.mat,TrainingSet,P001,T2map,t2map_ks.mat,2018690048,49602506
TrainingSet/P002/cine_lax_calib.mat,TrainingSet,P002,Cine LAX,cine_lax_calib.mat,2068293632,133844537
TrainingSet/P002/cine_lax_ks.mat,TrainingSet,P002,Cine LAX,cine_lax_ks.mat,2202140160,381245580
TrainingSet/P002/cine_sax_calib.mat,TrainingSet,P002,Cine SAX,cine_sax_calib.mat,2583386624,515060533
TrainingSet/P002/cine_sax_ks.mat,TrainingSet,P002,Cine SAX,cine_sax_ks.mat,3098448896,1728921062
TrainingSet/P002/t1map_calib.mat,TrainingSet,P002,T1map,t1map_calib.mat,4827370496,10433302
TrainingSet/P002/t1map_ks.mat,TrainingSet,P002,T1map,t1map_ks.mat,4837805568,327699251
TrainingSet/P002/t2map_calib.mat,TrainingSet,P002,T2map,t2map_calib.mat,5165505536,7036594
TrainingSet/P002/t2map_ks.mat,TrainingSet,P002,T2map,t2map_ks.mat,5172544000,60338418
TrainingSet/P003/cine_lax_calib.mat,TrainingSet,P003,Cine LAX,cine_lax_calib.mat,5232883712,39876208
TrainingSet/P003/cine_lax_ks.mat,TrainingSet,P003,Cine LAX,cine_lax_ks.mat,5272761856,61267807
TrainingSet/P003/cine_sax_calib.mat,TrainingSet,P003,Cine SAX,cine_sax_calib.mat,5334030336,351789676
TrainingSet/P003/cine_sax_ks.mat,TrainingSet,P003,Cine SAX,cine_sax_ks.mat,5685821952,1207020077
TrainingSet/P003/t1map_calib.mat,TrainingSet,P003,T1map,t1map_calib.mat,6892843008,10441303
TrainingSet/P003/t1map_ks.mat,TrainingSet,P003,T1map,t1map_ks.mat,6903286272,327837895
TrainingSet/P003/t2map_calib.mat,TrainingSet,P003,T2map,t2map_calib.mat,7231124992,7106510
TrainingSet/P003/t2map_ks.mat,TrainingSet,P003,T2map,t2map_ks.mat,7238233088,60518318
TrainingSet/P004/cine_lax_calib.mat,TrainingSet,P004,Cine LAX,cine_lax_calib.mat,7298752512,82573230
